1. El Sabor del Pueblo | Orders: 82 | Total Sales: $19907
2. City Bistro | Orders: 80 | Total Sales: $23806
3. Ondina | Orders: 80 | Total Sales: $21659
4. The Bee | Orders: 80 | Total Sales: $20635
5. La Francesa | Orders: 79 | Total Sales: $20378
6. The Harvest | Orders: 79 | Total Sales: $20509
7. The Rustic Kitchen | Orders: 78 | Total Sales: $23675
8. The Stylish Diner | Orders: 78 | Total Sales: $22784
9. La Cocina del Chef | Orders: 76 | Total Sales: $19518
10. The American | Orders: 75 | Total Sales: $21428
11. Sunset Grill | Orders: 74 | Total Sales: $20664
12. Urban eats | Orders: 74 | Total Sales: $23717
13. El Sol | Orders: 73 | Total Sales: $20929
14. La Bella Notte | Orders: 73 | Total Sales: $20667
15. La Furia | Orders: 73 | Total Sales: $19979
16. El Rincon del Gourmet | Orders: 72 | Total Sales: $18365
17. El Sazon Mexicano | Orders: 71 | Total Sales: $19482
18. La Parrilla Argentina | Orders: 71 | Total Sales: $20428
19. The Harvest House | Orders: 71 | Total Sales: $19864
20. El Cafe de la Abuela | Orders: 70 | Total Sales: $18100
21. Marthas | Orders: 70 | Total Sales: $18150
22. The Rustic Spoon | Orders: 70 | Total Sales: $19376
23. Classic Cafe | Orders: 69 | Total Sales: $20926
24. El Restaurante de Ana | Orders: 69 | Total Sales: $19277
25. The Lounge | Orders: 69 | Total Sales: $18521
26. The Trendy eatery | Orders: 69 | Total Sales: $20438
27. El Marisco Feliz | Orders: 68 | Total Sales: $18017
28. El Restaurante de la Plaza | Orders: 68 | Total Sales: $19556
29. La esquina del Taco | Orders: 68 | Total Sales: $16768
30. The Bistro Lounge | Orders: 68 | Total Sales: $21210
31. The Cafe Lounge | Orders: 68 | Total Sales: $18698
32. Las salsas | Orders: 67 | Total Sales: $19866
33. Los Rincones | Orders: 67 | Total Sales: $15638
34. Parkside Grill | Orders: 67 | Total Sales: $18660
35. The Caffeine Spot | Orders: 67 | Total Sales: $16449
36. The Fine Dining | Orders: 67 | Total Sales: $18452
37. The Lakeside Bistro | Orders: 67 | Total Sales: $18863
38. The Not Italian Bistro | Orders: 67 | Total Sales: $20135
39. The Savory | Orders: 67 | Total Sales: $19147
40. The Trendy Cafe | Orders: 67 | Total Sales: $17724
41. El Cafe de la Plaza | Orders: 66 | Total Sales: $18752
42. El dragon | Orders: 66 | Total Sales: $17187
43. Here and Now | Orders: 66 | Total Sales: $19287
44. The Food Haven | Orders: 66 | Total Sales: $19187
45. The Gourmet Lala | Orders: 66 | Total Sales: $19133
46. The Greenhouse Cafe | Orders: 66 | Total Sales: $17731
47. The Seafood Shack | Orders: 66 | Total Sales: $18324
48. Brunch & Mimosas | Orders: 65 | Total Sales: $19434
49. La Casa del Sabor | Orders: 65 | Total Sales: $15963
50. La Cocina de Alicia | Orders: 65 | Total Sales: $19940
51. La Taberna | Orders: 65 | Total Sales: $16117
52. The Waterfront | Orders: 65 | Total Sales: $18602
53. The eatery | Orders: 65 | Total Sales: $17501
54. The elegant Bistro | Orders: 65 | Total Sales: $20342
55. Casa de las empanadas | Orders: 64 | Total Sales: $19411
56. El Rincon | Orders: 64 | Total Sales: $18678
57. El Rincon del Chef | Orders: 64 | Total Sales: $19253
58. The Bistro Spot | Orders: 64 | Total Sales: $19099
59. The Countryside | Orders: 64 | Total Sales: $18990
60. The House | Orders: 64 | Total Sales: $17463
61. The Spot | Orders: 64 | Total Sales: $20588
62. The Urban Bistro | Orders: 64 | Total Sales: $18575
63. La Cabana | Orders: 63 | Total Sales: $16383
64. La Cocina | Orders: 63 | Total Sales: $16861
65. Ocean | Orders: 63 | Total Sales: $16812
66. The Gourmet Deli | Orders: 63 | Total Sales: $16560
67. The Main | Orders: 63 | Total Sales: $18893
68. Tierra y Mar | Orders: 63 | Total Sales: $17000
69. Don Perfecto | Orders: 62 | Total Sales: $16395
70. El Barzon | Orders: 62 | Total Sales: $16827
71. El Cafe del Chef Pablo | Orders: 62 | Total Sales: $17418
72. La Terraza del Mar | Orders: 62 | Total Sales: $18211
