1. City Bistro | Orders: 80 | Total Sales: $23806
2. Urban eats | Orders: 74 | Total Sales: $23717
3. The Rustic Kitchen | Orders: 78 | Total Sales: $23675
4. The Stylish Diner | Orders: 78 | Total Sales: $22784
5. Ondina | Orders: 80 | Total Sales: $21659
6. The American | Orders: 75 | Total Sales: $21428
7. The Bistro Lounge | Orders: 68 | Total Sales: $21210
8. El Sol | Orders: 73 | Total Sales: $20929
9. Classic Cafe | Orders: 69 | Total Sales: $20926
10. La Bella Notte | Orders: 73 | Total Sales: $20667
11. Sunset Grill | Orders: 74 | Total Sales: $20664
12. The Bee | Orders: 80 | Total Sales: $20635
13. The Spot | Orders: 64 | Total Sales: $20588
14. The Harvest | Orders: 79 | Total Sales: $20509
15. The Trendy eatery | Orders: 69 | Total Sales: $20438
16. La Parrilla Argentina | Orders: 71 | Total Sales: $20428
17. La Francesa | Orders: 79 | Total Sales: $20378
18. The elegant Bistro | Orders: 65 | Total Sales: $20342
19. The Not Italian Bistro | Orders: 67 | Total Sales: $20135
20. La Furia | Orders: 73 | Total Sales: $19979
21. La Cocina de Alicia | Orders: 65 | Total Sales: $19940
22. El Sabor del Pueblo | Orders: 82 | Total Sales: $19907
23. Las salsas | Orders: 67 | Total Sales: $19866
24. The Harvest House | Orders: 71 | Total Sales: $19864
25. The Village | Orders: 62 | Total Sales: $19798
26. El Restaurante de la Plaza | Orders: 68 | Total Sales: $19556
27. La Cocina del Chef | Orders: 76 | Total Sales: $19518
28. El Sazon Mexicano | Orders: 71 | Total Sales: $19482
29. Brunch & Mimosas | Orders: 65 | Total Sales: $19434
30. Casa de las empanadas | Orders: 64 | Total Sales: $19411
31. The Rustic Spoon | Orders: 70 | Total Sales: $19376
32. Here and Now | Orders: 66 | Total Sales: $19287
33. El Restaurante de Ana | Orders: 69 | Total Sales: $19277
34. El Rincon del Chef | Orders: 64 | Total Sales: $19253
35. The Classic | Orders: 60 | Total Sales: $19241
36. The Food Haven | Orders: 66 | Total Sales: $19187
37. The Savory | Orders: 67 | Total Sales: $19147
38. The Gourmet Lala | Orders: 66 | Total Sales: $19133
39. The Modern | Orders: 58 | Total Sales: $19103
40. The Bistro Spot | Orders: 64 | Total Sales: $19099
41. La Pasticceria | Orders: 61 | Total Sales: $19016
42. The Countryside | Orders: 64 | Total Sales: $18990
43. The Main | Orders: 63 | Total Sales: $18893
44. The Lakeside Bistro | Orders: 67 | Total Sales: $18863
45. Dos hermanos | Orders: 61 | Total Sales: $18758
46. El Cafe de la Plaza | Orders: 66 | Total Sales: $18752
47. The Old Mill | Orders: 59 | Total Sales: $18706
48. The Cafe Lounge | Orders: 68 | Total Sales: $18698
49. El Rincon | Orders: 64 | Total Sales: $18678
50. Parkside Grill | Orders: 67 | Total Sales: $18660
51. The Waterfront | Orders: 65 | Total Sales: $18602
52. The Urban Bistro | Orders: 64 | Total Sales: $18575
53. Bistro Boulevard | Orders: 60 | Total Sales: $18554
54. The Lounge | Orders: 69 | Total Sales: $18521
55. The Fine Dining | Orders: 67 | Total Sales: $18452
56. El Rinconcito Tropical | Orders: 59 | Total Sales: $18414
57. El Rincon del Gourmet | Orders: 72 | Total Sales: $18365
58. The Seafood Shack | Orders: 66 | Total Sales: $18324
59. La Terraza del Mar | Orders: 62 | Total Sales: $18211
60. Marthas | Orders: 70 | Total Sales: $18150
61. La Terraza del Chef | Orders: 56 | Total Sales: $18110
